incident_type,incident_date,incident_location,incident_description,offender_info,user_reaction,evidence
중고거래 사기,2023-05-09,Barreraburgh,물품이 설명과 다르거나 상태가 좋지 않습니다.,William Baker / 468.723.4309x805,포기하고 다른 사람과 거래를 시도했습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-01-07,New Thomashaven,판매자가 갑자기 연락이 두절되었습니다.,Tyler Miller / (191)361-9399,판매자를 계속 추궁했으나 결과가 없었습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2022-12-24,South Dianeshire,물품이 설명과 다르거나 상태가 좋지 않습니다.,Taylor Harris / 001-534-624-7510x799,판매자를 계속 추궁했으나 결과가 없었습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-02-09,New Jasonview,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Gregory Jones / 542.784.9808,구매 후기 사이트에 해당 내용을 올렸습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-07-14,East Josephville,판매자가 갑자기 연락이 두절되었습니다.,Brittney Campbell / 534.874.0164,판매자를 계속 추궁했으나 결과가 없었습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2022-12-28,West Kellieview,판매자가 갑자기 연락이 두절되었습니다.,Jeremy Thornton / +1-011-280-5982,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,증거가 없습니다.
중고거래 사기,2023-10-23,North Kyle,지불 후 판매자가 더 많은 돈을 요구했습니다.,Rebecca Valencia / (331)586-9232x260,경찰서에 방문하여 상담을 받았습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-04-12,Kimberlychester,지불 후 판매자가 더 많은 돈을 요구했습니다.,Sharon Cochran / 216-073-3754x330,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2024-04-19,South Mark,판매자가 갑자기 연락이 두절되었습니다.,Tracy Ramirez / +1-868-501-4294x0196,포기하고 다른 사람과 거래를 시도했습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-08-19,Samuelhaven,판매자가 갑자기 연락이 두절되었습니다.,Steven Lee / 6088356159,경찰서에 방문하여 상담을 받았습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-07-25,Lake Rachelhaven,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Jason Powell / 823-662-9946x8044,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-05-06,Floydmouth,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Jeremy Lewis / 214.895.1343x3200,신고를 결심했습니다.,물품 거래 내역을 캡처한 화면이 있습니다.
중고거래 사기,2023-06-02,Carrland,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Stephen Johnston / 001-676-320-1632x870,신고를 결심했습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-01-30,Port David,지불 후 판매자가 더 많은 돈을 요구했습니다.,John Schmidt / +1-957-986-8727,판매자를 계속 추궁했으나 결과가 없었습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-11-08,Karenview,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Kelly Sims / 714-345-5812x236,판매자를 계속 추궁했으나 결과가 없었습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2024-05-16,Lake Jason,판매자가 갑자기 연락이 두절되었습니다.,Gary Owens / 3669096705,판매자를 계속 추궁했으나 결과가 없었습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-07-13,Castanedachester,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Morgan Marsh / 734.670.6562,판매자를 계속 추궁했으나 결과가 없었습니다.,증거가 없습니다.
중고거래 사기,2024-09-06,Calhounside,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,James Elliott / 1627204653,포기하고 다른 사람과 거래를 시도했습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-11-12,Matthewfurt,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Trevor Fisher / 708-053-1003,포기하고 다른 사람과 거래를 시도했습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-04-27,New Elijahberg,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Brian Gould / 452.991.2419x049,포기하고 다른 사람과 거래를 시도했습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2024-05-03,Sandersborough,물품이 설명과 다르거나 상태가 좋지 않습니다.,Michael Burton / 491-905-8651,구매 후기 사이트에 해당 내용을 올렸습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-12-21,Alexanderchester,판매자가 갑자기 연락이 두절되었습니다.,Ashley Yu / +1-726-284-9877x6945,포기하고 다른 사람과 거래를 시도했습니다.,증거가 없습니다.
중고거래 사기,2024-09-15,Port Sarah,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Jerry Christensen / 001-965-075-2735,신고를 결심했습니다.,증거가 없습니다.
중고거래 사기,2024-08-04,Matthewview,판매자가 갑자기 연락이 두절되었습니다.,Kellie Lee / 678.377.7014,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-05-15,Holtport,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Jackie Tran / (685)574-4431x351,판매자를 계속 추궁했으나 결과가 없었습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2024-06-23,East Javier,판매자가 갑자기 연락이 두절되었습니다.,Dr. William Warren / 134-352-4082x4008,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-07-08,Lake Miranda,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Shane Andrews MD / 520.471.1671x902,포기하고 다른 사람과 거래를 시도했습니다.,물품 거래 내역을 캡처한 화면이 있습니다.
중고거래 사기,2023-03-19,Christopherbury,물품이 설명과 다르거나 상태가 좋지 않습니다.,Phillip Obrien / +1-386-774-9649x909,포기하고 다른 사람과 거래를 시도했습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2024-06-20,Port Jaredborough,지불 후 판매자가 더 많은 돈을 요구했습니다.,Brad Allen / +1-120-679-7403,포기하고 다른 사람과 거래를 시도했습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-07-05,Jacquelinemouth,물품이 설명과 다르거나 상태가 좋지 않습니다.,David Baker / +1-936-183-2421x0249,판매자를 계속 추궁했으나 결과가 없었습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2024-06-27,Scottmouth,물품이 설명과 다르거나 상태가 좋지 않습니다.,Melissa Bender / 877.190.6594x01399,포기하고 다른 사람과 거래를 시도했습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2022-12-10,Barbaraburgh,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Matthew Moon / (967)175-6551,판매자를 계속 추궁했으나 결과가 없었습니다.,증거가 없습니다.
중고거래 사기,2024-09-20,West Robert,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Matthew Morales DDS / 7154516808,구매 후기 사이트에 해당 내용을 올렸습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-11-17,Brownhaven,지불 후 판매자가 더 많은 돈을 요구했습니다.,Peter Garrett / 001-034-824-7710x93248,판매자를 계속 추궁했으나 결과가 없었습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2022-12-04,Davisville,물품이 설명과 다르거나 상태가 좋지 않습니다.,Bruce Collier / 484.677.3782x6398,경찰서에 방문하여 상담을 받았습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2024-06-25,Port Chad,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Sarah Morgan / 404.499.7278x75588,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-09-12,Cantuborough,물품이 설명과 다르거나 상태가 좋지 않습니다.,Mrs. Janet Chase / (057)662-7028x95171,포기하고 다른 사람과 거래를 시도했습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2024-01-06,Smithberg,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Matthew Moore / 459.615.8657x8091,구매 후기 사이트에 해당 내용을 올렸습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-05-25,Wendyland,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Brett Schultz / 724-005-0455,구매 후기 사이트에 해당 내용을 올렸습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-10-24,East Amanda,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Rebecca Jackson / 969-379-2374,구매 후기 사이트에 해당 내용을 올렸습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-11-15,Elizabethmouth,판매자가 갑자기 연락이 두절되었습니다.,Megan Moore / 594.647.4367x136,경찰서에 방문하여 상담을 받았습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-02-11,Baileyport,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Ronald Foster / 9097439533,포기하고 다른 사람과 거래를 시도했습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-03-20,Ericaberg,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Stephanie Lucas / 709-521-4562x3285,경찰서에 방문하여 상담을 받았습니다.,물품 거래 내역을 캡처한 화면이 있습니다.
중고거래 사기,2024-01-10,Mariaview,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Terry Coffey / 517-123-6851x6048,판매자를 계속 추궁했으나 결과가 없었습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-02-27,Richardsonview,판매자가 갑자기 연락이 두절되었습니다.,Samantha Bentley / 370-985-9317,구매 후기 사이트에 해당 내용을 올렸습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2024-10-30,Debraville,지불 후 판매자가 더 많은 돈을 요구했습니다.,Tracy Torres / 113.826.7586x9261,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,증거가 없습니다.
중고거래 사기,2024-09-01,Gilbertview,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Jacob Ramos / 515.850.6431,판매자를 계속 추궁했으나 결과가 없었습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2024-09-12,Davisborough,물품이 설명과 다르거나 상태가 좋지 않습니다.,Linda Smith / 329-318-3933x52904,경찰서에 방문하여 상담을 받았습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-09-20,East Amber,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Ashley Delacruz / (053)950-2402,판매자를 계속 추궁했으나 결과가 없었습니다.,증거가 없습니다.
중고거래 사기,2024-06-22,Foxland,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Richard Palmer / 783-908-4700,경찰서에 방문하여 상담을 받았습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-12-01,Simmonsville,물품이 설명과 다르거나 상태가 좋지 않습니다.,Theodore Jones Jr. / +1-212-499-8569x847,판매자를 계속 추궁했으나 결과가 없었습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-12-21,Garciaville,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Marilyn Mack / 001-367-365-7661x5654,경찰서에 방문하여 상담을 받았습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-09-10,Lake Sandra,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Ronald Davis / 528-098-8516,판매자를 계속 추궁했으나 결과가 없었습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-08-25,Parrishton,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Lindsay Bell / 001-832-731-5851,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,물품 거래 내역을 캡처한 화면이 있습니다.
중고거래 사기,2024-07-08,Audreychester,판매자가 갑자기 연락이 두절되었습니다.,Vanessa Cardenas / +1-809-402-4455x022,신고를 결심했습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-02-06,Jonestown,물품이 설명과 다르거나 상태가 좋지 않습니다.,Joseph Bennett / 525.459.9102x290,경찰서에 방문하여 상담을 받았습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-04-30,West Scottchester,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Mr. Donald Fischer / 561-497-8403,포기하고 다른 사람과 거래를 시도했습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-09-27,North Jamesborough,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Pamela Roberts / 076-226-8388,경찰서에 방문하여 상담을 받았습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2024-09-01,Charleston,물품이 설명과 다르거나 상태가 좋지 않습니다.,Joe Miller / 969-664-1605x29751,포기하고 다른 사람과 거래를 시도했습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-10-29,East Ryanfurt,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Jennifer Collins / 352-181-8835x52312,신고를 결심했습니다.,물품 거래 내역을 캡처한 화면이 있습니다.
중고거래 사기,2023-06-10,East Carrie,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Mary Thompson / 001-779-979-9552x71774,경찰서에 방문하여 상담을 받았습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2024-08-03,Brittanystad,물품이 설명과 다르거나 상태가 좋지 않습니다.,Emily Hayes / 5411998679,경찰서에 방문하여 상담을 받았습니다.,증거가 없습니다.
중고거래 사기,2024-01-28,South Reginashire,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Erica Alvarez / (071)518-2037,신고를 결심했습니다.,증거가 없습니다.
중고거래 사기,2023-10-31,West Nathan,판매자가 갑자기 연락이 두절되었습니다.,Jason Morgan / +1-051-518-6449x251,구매 후기 사이트에 해당 내용을 올렸습니다.,증거가 없습니다.
중고거래 사기,2024-02-19,West Kyle,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Mary Anderson / 001-148-652-8168x505,판매자를 계속 추궁했으나 결과가 없었습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-07-21,East Matthew,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Cheryl Cooke / (141)888-0592,구매 후기 사이트에 해당 내용을 올렸습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-03-01,Mooreburgh,물품이 설명과 다르거나 상태가 좋지 않습니다.,Patricia Lamb / (706)537-9473,신고를 결심했습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-01-12,West Tammy,판매자가 갑자기 연락이 두절되었습니다.,Stephanie Lee / +1-977-468-8623x92407,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2024-10-02,Angelaville,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Kelli Martinez / 247-826-1375,신고를 결심했습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2024-11-15,South Brianhaven,물품이 설명과 다르거나 상태가 좋지 않습니다.,James Miller / 051.522.0472,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-07-05,Westtown,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Alicia Lewis / (898)614-3410,포기하고 다른 사람과 거래를 시도했습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-05-28,Fowlermouth,물품이 설명과 다르거나 상태가 좋지 않습니다.,Russell Porter / +1-089-324-6095,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-05-29,Lopezland,판매자가 갑자기 연락이 두절되었습니다.,Heather Ashley / +1-888-067-0654,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2024-06-26,West Kristinastad,물품이 설명과 다르거나 상태가 좋지 않습니다.,Matthew Garcia / 001-520-585-2772,판매자를 계속 추궁했으나 결과가 없었습니다.,증거가 없습니다.
중고거래 사기,2024-08-15,North Jennifer,지불 후 판매자가 더 많은 돈을 요구했습니다.,Amanda Harris / 054.868.7403,신고를 결심했습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-07-04,Michelleton,물품이 설명과 다르거나 상태가 좋지 않습니다.,Evelyn Martinez / (667)652-7758x416,포기하고 다른 사람과 거래를 시도했습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-01-24,Morrisonburgh,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Erica Miller / +1-447-962-7570x59640,구매 후기 사이트에 해당 내용을 올렸습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-01-21,Coxburgh,지불 후 판매자가 더 많은 돈을 요구했습니다.,Brenda Lawson / 021.355.6909x275,구매 후기 사이트에 해당 내용을 올렸습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-09-08,Hinesshire,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Jacob Edwards / 310-278-6814x473,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,증거가 없습니다.
중고거래 사기,2024-03-13,Heatherfort,지불 후 판매자가 더 많은 돈을 요구했습니다.,Chad Jones / (715)518-8442,판매자를 계속 추궁했으나 결과가 없었습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2024-05-29,Port Michael,지불 후 판매자가 더 많은 돈을 요구했습니다.,William Conner / 705.895.7829,구매 후기 사이트에 해당 내용을 올렸습니다.,증거가 없습니다.
중고거래 사기,2024-10-10,North Kylefort,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Patricia Morrow / 251-778-5289,포기하고 다른 사람과 거래를 시도했습니다.,증거가 없습니다.
중고거래 사기,2023-04-14,South Wesley,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Sandra Holmes / 225-358-4143x8424,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-03-15,New Danielleshire,지불 후 판매자가 더 많은 돈을 요구했습니다.,Brittany Hopkins / 001-959-001-0943x9690,포기하고 다른 사람과 거래를 시도했습니다.,물품 거래 내역을 캡처한 화면이 있습니다.
중고거래 사기,2023-12-15,Dawnport,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Dr. Michael Evans / 027-677-3592,신고를 결심했습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-07-24,Jessicastad,물품이 설명과 다르거나 상태가 좋지 않습니다.,Bianca Wood / +1-153-714-7321,경찰서에 방문하여 상담을 받았습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-01-02,Soniachester,물품이 설명과 다르거나 상태가 좋지 않습니다.,Sean Moore / 953-278-7747x01687,구매 후기 사이트에 해당 내용을 올렸습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-05-29,New Michael,판매자가 갑자기 연락이 두절되었습니다.,Johnny Khan / +1-748-016-2456x5060,구매 후기 사이트에 해당 내용을 올렸습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2024-02-09,West Angela,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Jonathan Duran / 991-216-5585x239,구매 후기 사이트에 해당 내용을 올렸습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-12-24,Porterton,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Micheal Brock / 729.825.9526x94958,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,증거가 없습니다.
중고거래 사기,2024-08-28,Ericksonport,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Alan Rivera / 694-097-4993,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-06-06,New Timothyhaven,물품이 설명과 다르거나 상태가 좋지 않습니다.,Lisa Randall / (309)130-7562,신고를 결심했습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-10-10,South Warren,지불 후 판매자가 더 많은 돈을 요구했습니다.,Kaitlyn Charles / 001-028-385-7865x2785,구매 후기 사이트에 해당 내용을 올렸습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2024-01-22,Ericaview,지불 후 판매자가 더 많은 돈을 요구했습니다.,Cheryl Wright / +1-434-437-5758,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2024-11-18,Keithshire,지불 후 판매자가 더 많은 돈을 요구했습니다.,Jamie Baird / (240)415-7473x384,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2024-11-17,Derrickshire,판매자가 갑자기 연락이 두절되었습니다.,Anthony Stein / 301.657.1208,구매 후기 사이트에 해당 내용을 올렸습니다.,물품 거래 내역을 캡처한 화면이 있습니다.
중고거래 사기,2024-11-14,South Denise,지불 후 판매자가 더 많은 돈을 요구했습니다.,Karen Santos / 001-454-019-3802x62067,포기하고 다른 사람과 거래를 시도했습니다.,증거가 없습니다.
중고거래 사기,2023-04-17,Nancytown,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Lance Hebert / 478-872-8743x15274,포기하고 다른 사람과 거래를 시도했습니다.,증거가 없습니다.
중고거래 사기,2024-06-04,North Jill,지불 후 판매자가 더 많은 돈을 요구했습니다.,Laura Todd / (966)851-6122,신고를 결심했습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-11-29,Sharitown,판매자가 갑자기 연락이 두절되었습니다.,David Molina / 499-045-3017x42684,신고를 결심했습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-05-13,Lake Sabrinaport,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Daniel Bernard / 279.568.7833x9187,포기하고 다른 사람과 거래를 시도했습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2024-01-08,Christianshire,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Ronald Leach / 982.258.7139,포기하고 다른 사람과 거래를 시도했습니다.,물품 거래 내역을 캡처한 화면이 있습니다.
중고거래 사기,2023-12-08,New Seanton,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Jose Bryant / 8740640391,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2022-12-29,Cooperland,지불 후 판매자가 더 많은 돈을 요구했습니다.,Amy Shannon / 046.226.5676x6182,경찰서에 방문하여 상담을 받았습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2024-04-14,Davidside,물품이 설명과 다르거나 상태가 좋지 않습니다.,Cameron Irwin / 0478686337,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-08-19,West Jacob,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Pamela Johnson / +1-690-331-1907x90306,신고를 결심했습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-10-30,New Jeff,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Amy Gordon / 395-995-3428x3644,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,증거가 없습니다.
중고거래 사기,2023-01-10,Lake Erika,물품이 설명과 다르거나 상태가 좋지 않습니다.,Amber Cooper / +1-685-662-4628x7334,구매 후기 사이트에 해당 내용을 올렸습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2024-09-20,Port Steven,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Jason Butler / 263.435.1751x83046,신고를 결심했습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2024-04-30,Port Charlesshire,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Kristin Mendoza / 403-317-3936x38546,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-11-21,Kylestad,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Kathleen Garcia / 001-753-556-0932x0489,구매 후기 사이트에 해당 내용을 올렸습니다.,증거가 없습니다.
